,City,Dentist,Dermatologist,GP,Gynécologist,Ophtalmologist,Pédiatrician,Rank,department,thousand_nights_in_hotels,thousand_nights_in_campsites,population,density,rate_60_and_over,median_income,attractiveness_rank,solar_exposure,precipitation,temperature
28134,Dreux,57.0,33.0,8.0,86.0,225.0,39.0,52.0,Eure-et-Loir,719.0,110.0,30664.0,1263.5,21.9,17170.0,580,,557.3,11.4
59183,Dunkerque,28.0,212.0,88.0,81.0,93.0,38.0,170.0,Nord,3868.0,317.0,86865.0,1979.2,27.6,19090.0,38,,,
51230,Épernay,52.0,229.0,6.0,181.0,324.0,151.0,233.0,Marne,1666.0,103.0,22330.0,984.1,27.7,19380.0,546,,,
88160,Épinal,14.0,132.0,4.0,83.0,271.0,63.0,46.0,Vosges,940.0,691.0,32223.0,543.9,26.7,19030.0,59,1734.4,923.7,9.9
91223,Étampes,155.0,158.0,6.0,6.0,252.0,109.0,155.0,Essonne,2049.0,143.0,25287.0,618.0,17.9,19210.0,395,1798.0,598.3,10.8
27229,Évreux,54.0,136.0,11.0,48.0,204.0,,141.0,Eure,620.0,187.0,46707.0,1765.2,22.3,17630.0,246,1684.0,611.6,
91228,Évry-Courcouronnes,97.0,88.0,7.0,50.0,39.0,101.0,149.0,Essonne,2049.0,143.0,67131.0,5285.9,14.9,18050.0,48,,,
46102,Figeac,122.0,179.0,2.0,115.0,150.0,115.0,119.0,Lot,546.0,982.0,9778.0,278.1,33.8,21240.0,591,,,
09122,Foix,45.0,58.0,98.0,117.0,,,164.0,Ariège,258.0,483.0,9452.0,489.2,32.9,20160.0,878,,,
77186,Fontainebleau,9.0,189.0,17.0,43.0,,,18.0,Seine-et-Marne,9653.0,1038.0,15407.0,89.5,27.3,25470.0,498,,734.0,11.0
85092,Fontenay-le-Comte,124.0,149.0,6.0,134.0,,,190.0,Vendée,1546.0,9046.0,13302.0,390.7,38.5,19990.0,1207,,,
57227,Forbach,8.0,168.0,6.0,157.0,242.0,118.0,221.0,Moselle,1795.0,284.0,21652.0,1326.7,26.6,16660.0,432,,,
04088,Forcalquier,129.0,29.0,5.0,173.0,159.0,45.0,208.0,Alpes-de-Haute-Provence,764.0,1803.0,5069.0,118.5,36.5,19520.0,3775,,,
35115,Fougères,64.0,140.0,7.0,127.0,180.0,55.0,105.0,Ille-et-Vilaine,3053.0,1269.0,20528.0,1962.5,32.099999999999994,19430.0,703,,923.2,11.7
05061,Gap,51.0,65.0,12.0,36.0,187.0,78.0,47.0,Hautes-Alpes,976.0,1245.0,40559.0,367.3,29.9,21160.0,205,,,
46127,Gourdon,120.0,91.0,8.0,,203.0,,225.0,Lot,546.0,982.0,3985.0,87.5,47.2,19860.0,2119,,,
06069,Grasse,56.0,125.0,106.0,2.0,6.0,6.0,80.0,Alpes-Maritimes,9062.0,848.0,48865.0,1099.6,25.8,21850.0,178,,,
38185,Grenoble,136.0,124.0,7.0,50.0,169.0,98.0,201.0,Isère,2467.0,998.0,157650.0,8695.5,19.7,21050.0,114,,923.9,13.4
23096,Guéret,98.0,,5.0,27.0,276.0,82.0,196.0,Creuse,123.0,136.0,12889.0,491.8,32.1,19840.0,321,,,
